,title,area,numberOfRooms,price,town,district
93,Murat'tan Merkezde 180 m2 Keyifli Daire,160,3+1,5000000,Büyükada,Maden Mh.
94,Filamingoda,180,2+1,4400000,Kınalıada,Kınalıada Mh.
95,Büyükada Kumsalda Mükemmel Deniz Manzaralı Fırsat 2 Daire,200,6+2,6000000,Büyükada,Maden Mh.
96,Planet'ten Çankaya Meydanında Tarihi Binada Dublex Bahçe Katı,184,3+2,4750000,Büyükada,Nizam Mh.
97,"Heybeliada Merkezde 2+1 Kombili, Deniz Manzaralı Daire",61,2+1,1450000,Heybeliada,nan
98,Büyükada Emlak'tan İçi Yenilenmiş 2+1 Yüksek Giriş Daire,100,2+1,1600000,Büyükada,Maden Mh.
99,heybeli'de ayrı tapulu iskânlı iki stüdyo daire birlikte satılık,84,2+1,1850000,Heybeliada,nan
100,Planet'ten Merkezde Ara Kat Geniş Bahçeli Geniş Ara Kat Daire,160,3+1,5000000,Büyükada,Maden Mh.
101,heybeliada merkezde katmülkiyetli aydınlık 2+1 bahçe dairesi,106,2+1,2250000,Heybeliada,nan
102,DERİN'DEN NEO BOLLUCA 1'DE SATILIK FULL EŞYALI 1+1,55,1+1,995000,Bolluca,nan
103,ARNAVUTKÖY MERKEZ SATILIK DUBLEKS,250,5+2,1550000,Arnavutköy,Arnavutköy Merkez Mh.
104,ACİL MERKEZDE PTT ARKASI 5+2 200 M² KÖŞE BAŞI YÜKSK ÇATI DUBLEKS,250,4+2,2100000,Arnavutköy,İslambey Mh.
105,TURYAPTAN KARLIBAYIRDA SATILIK YÜKSEK TAVAN DUBLEKS DAİRE,190,4+2,1375000,Haraççı,Karlıbayır Mh.
106,ÇALIŞKAN DAN İSKANLI BİNA DA EMSALSİZ SATILIK SIFIR 3+1,135,3+1,1545000,Arnavutköy,İslambey Mh.
107,DAF YAPIDAN ANADOLU MAHALLESİNDE 3+1 DUBEX,140,3+1,920000,Arnavutköy,Anadolu Mah.
108,ARNAVUTKÖY TAŞOLUK DA ACİL SATILIK 2+1 DAİRE,96,2+1,760000,Taşoluk,Taşoluk Mh.
109,HADIMKÖY MERKEZİ KONUMDA OTOPARKLI BUTİK SİTEDE 2+1 PROJEDEN,97,2+1,1025000,Arnavutköy,Hadımköy Mh.
110,ARNVUTKÖY PERŞEMBE PAZARINDA TAM MERKEZİ KONUMDA 2+1 1.KAT DAİRE,90,2+1,950000,Arnavutköy,Arnavutköy Merkez Mh.
111,Sahibinden Yatay Mimari Sitede Satılık Daire,85,1+1,1650000,Arnavutköy,Hadımköy Mh.
112,ARNAVUTKÖY İSLAMBEY DE SATILIK 2+1 ARA KAT DAİRE,98,2+1,1150000,Arnavutköy,İslambey Mh.
113,Sahibinden aracısız,110,2+1,880000,Arnavutköy,Yunus Emre Mah.
114,sahibinden satılık daire,125,2+1,935000,Arnavutköy,Anadolu Mah.
115,hemen taşına bilirsiniz,105,3+1,1200000,Arnavutköy,Anadolu Mah.
116,Arnavutköy Anadolu Mah de çift balkonlu merkezi daire,90,2+1,970000,Arnavutköy,Anadolu Mah.
117,sahibinden satılık 4+2 çatı dublex,210,4+2,2300000,Arnavutköy,Anadolu Mah.
118,ÖMERLİ KİPTAŞ SATILIK SAHİBİNDEN 2+1 GÜNEY CEPHELİ YAPILI DAİRE,95,2+1,1200000,Hadımköy,(Boyalık)Ömerli Mh.
119,ARNAVUTKÖY MERKEZ MAHALLESİNDE SATILIK 4+2 LÜKS DUBLEKS DAİRE,180,4+2,1585000,Arnavutköy,Arnavutköy Merkez Mh.
120,HASMEKSTAR ÎNŞAATDAN TEK DAİRE ÜZERINDE ARAKAT DAİRE ANADOLU MAH,97,2+1,890000,Arnavutköy,Anadolu Mah.
121,ÇALIŞKAN GYO ARNAVUTKÖY TAŞOLUK TA SATILIK 2+1 DAİRE,110,2+1,1130000,Taşoluk,Taşoluk Mh.
122,ÇALIŞKAN GYO ARNAVUTKÖY VADİ PARKTA SATILIK 4+2 DUBLEX,220,4+2,1760000,Arnavutköy,Mustafa Kemal Paşa Mh.
123,Arnavutköy Merkez Kaçırılmıycak Daire,105,2+1,790000,Arnavutköy,Arnavutköy Merkez Mh.
124,Doğalgaz (Kombi) Lüx Bu Fiyata Yok! Satılık 3+1 Emlak Ofisinden Sahibinden,150,3+1,950000,Arnavutköy,Anadolu Mah.
125,ARNAVUTKÖY MERKEZDE SATILIK 3+1 DAİRE,145,3+1,1500000,Arnavutköy,Arnavutköy Merkez Mh.
126,ARNAVUTKÖY MUSTAFA KEMALPAŞA MAHALLESİ'NDE SATILIK 2+1 LÜX GİRİŞ,95,2+1,850000,Arnavutköy,Mustafa Kemal Paşa Mh.
127,ARNAVUTKÖY TAŞOLUKTA SATILIK 2+1SIFIR GİRİŞ KAT DAİRE BALKONLU,95,2+1,700000,Taşoluk,Taşoluk Mh.
128,ERPAYDAN MERKEZE YAKIN 4+2 DUBLEX,200,4+2,1530000,Arnavutköy,Anadolu Mah.
129,''KAPLAN İNŞAAT'' DAN ARNAVUTKÖY İSLAMBEY DE 2+1 90 M2 ARAKAT,95,2+1,975000,Arnavutköy,İslambey Mh.
130,''KAPLAN İNŞAAT'' DAN ARNAVUTKÖYDE 2+1 SATILIK ARAKAT DAİRE,90,2+1,790000,Arnavutköy,Anadolu Mah.
131,TEKBAŞLAR'DAN MAVİGÖLDE ARA KAT 2+1 SATILIK DAİRE,90,2+1,1140000,Bolluca,Mavigöl Mh.
132,İLK SAHİBİNDEN SATILIK MUAZZAM 110 M2 DAİRE,110,2+1,700000,Arnavutköy,Yunus Emre Mah.
133,ARNAVUTKÖY HADIMKÖYDE SİTE İÇERİSİNDE GENİŞ 3+1 DAİRE,150,3+1,2000000,Arnavutköy,Hadımköy Mh.
134,Aslı emlaktan satılık Mavigöl ultura büyük 5 katlı bina,160,3+1,4350000,Bolluca,Mavigöl Mh.
135,satılık bahçe kat,120,2+1,7100000,Arnavutköy,İslambey Mh.
136,HAS EVİM YAPIDAN SATILIK 2+1 SIFIR DAİRE YAKINDA TESLİMDİR.,90,2+1,890000,Arnavutköy,Anadolu Mah.
137,TURYAP'TAN M. KEMAL PAŞA'DA 2+1 LÜKS BAHÇELİ DAİRE,95,2+1,680000,Arnavutköy,Mustafa Kemal Paşa Mh.
138,Anadolu mahallesi nde satılık ara kat Salı pazarına yakın,140,3+1,1370000,Arnavutköy,Anadolu Mah.
139,ARNAVUTKÖY CADEYE YAKIN 675 BINE SATILIK 2+1 85 M2 KREDILI DAIRE,85,2+1,675000,Arnavutköy,Anadolu Mah.
140,PUSULA İNŞAATAN ARNAVUTKÖYDE ANADULU MAH 2+1 95M2 YÜKSEK GİRİŞ K,95,2+1,685000,Arnavutköy,Anadolu Mah.
141,ARNAVUTKÖY MERKEZDE A+ PANAROMIK MANZARALI DUBLEX SATILIK DİRE,250,4+2,1850000,Arnavutköy,İslambey Mh.
142,İstanbul Havalimanı Arnavutköy Bolluca'da 2+1 Satılık Daire,95,2+1,1400000,Bolluca,Mavigöl Mh.
143,arnavutkoy taşoluk ta satılık daire,100,2+1,830000,Taşoluk,Taşoluk Mh.
144,5K İNŞAAT TAN SATILIK DAİRE,130,3+1,1380000,Arnavutköy,Anadolu Mah.
145,ARNAVUTKÖY TAŞOLUK DA SATILIK 2+1 ANAHTAR TESLİM DAİRE,90,2+1,1100000,Taşoluk,Mehmet Akif Ersoy Mah.
146,HADIMKÖY TOKİ 4. BÖLGE SATILIK 2+1 DAİRE,95,2+1,1200000,Arnavutköy,Hadımköy Mh.
147,MERKEZ MAHALLESİ 4+1 140m2 BAHÇELİ DAİRE,140,3+1,1150000,Arnavutköy,Arnavutköy Merkez Mh.
148,İSLAMBEY MAHALLESİNDE SATILIK LÜKS 2. KAT DAİRE,110,2+1,975000,Arnavutköy,İslambey Mh.
149,USTA EMLAKTAN HADIMKÖY KİPTAŞ 1. ETAPTA SATILIK 2+1 DAİRE,75,2+1,904000,Arnavutköy,Hadımköy Mh.
150,Anadolu Mah Kullanıma Hazır 2+1 Asansörlü Lüks 2.Kat Daire,105,2+1,1080000,Arnavutköy,Anadolu Mah.
151,ERPAYDAN MERKEZDE CADDE ÜZERİ LÜKS DAİRELER,100,2+1,1300000,Arnavutköy,Arnavutköy Merkez Mh.
152,ANADOLU MAHALLESİ ''SALIPAZARI'' 4+2 DUBLEKS DAİRE 180 M2,200,4+2,1350000,Arnavutköy,Anadolu Mah.
153,FATİH MAH SİTE İÇİ 3+1 2.KAT 120 M2 3 BALKONLU GENİŞ DAİRE....,140,3+1,585000,Taşoluk,Fatih Mah.
154,ARNAVUTKÖY BOLLUCA MAVIGÖL MAH.SATILIK DUBLEKS,185,4+2,1550000,Bolluca,Mavigöl Mh.
155,Arnavutköy Anadolu Mah. Satılık 2+1 Cadde Üzeri Arakat Daire,100,2+1,915000,Arnavutköy,Anadolu Mah.
156,ARNAVUTKÖY YILDIRIM BEYAZIT CATTESİNDE SATILIK 3+1 ARAKAT 2 KAT,115,3+1,1750000,Arnavutköy,Anadolu Mah.
157,"0"" daire bu konumda bu fiyata çok zor",105,2+1,1150000,Arnavutköy,Anadolu Mah.
158,4x2 DÜBLEX MANZARASI MÜKEMMEL BİR KONUMUNDA,180,4+2,1440000,Boğazköy,Boğazköy İstiklal Mh.
159,120 M2 KAPALI OTOPARKLI MANZARALI KÖŞEBAŞI ASANSRLÜ LÜX DAİRELER,125,2+1,1410000,Taşoluk,Taşoluk Mh.
160,SIFIR DÜZ GİRİŞ GİBİ BAHÇE KATI,100,2+1,595000,Arnavutköy,İslambey Mh.
161,65 M2 DÜZ BAHÇE KATI SIFIR TEK DAİRE ÜZERİ DAİRE KİREDİYE UYGUN,115,2+1,595000,Arnavutköy,İslambey Mh.
162,HASMEKSTAR İNŞAATDAN UTRA LÜKS DUBLEKS DAİRE 4+2 NENEHATUNDA,210,4+2,1400000,Arnavutköy,Nenehatun Mah.
163,HAS EVİM YAPIDAN MERKEZİ KONUMDA 2+1 1. KAT LÜKS DAİRE,90,2+1,975000,Arnavutköy,İslambey Mh.
164,ARNAVUTKÖY CADEYE YAKIN 975 BIN SATILIK LUKS UYGUN ARAKAT DAIRE,95,2+1,975000,Arnavutköy,İslambey Mh.
